Arquivo;MMSI;Nome do Navio (Principal/Alias);Classificacao;Quem_Acusou;Benford_Score;Bhattacharyya_Dist_Real;Bhattacharyya_Dist_Falso;Mahalanobis_Dist_Real;Mahalanobis_Dist_Falso;Frobenius_Dist_Real;Frobenius_Dist_Falso;Wasserstein_Dist_Real;Wasserstein_Dist_Falso;Euclidiana_Dist_Real;Euclidiana_Dist_Falso
unseenlabsData312171000.xlsx;312171000;ANHONA;TOTALMENTE CULPADO;Bhattacharyya | Mahalanobis | Frobenius;0,0713;1,6422;0,9865;0,4588;0,1968;1,5007;0,6289;1,1893;0,4174;0,4246;0,1533
unseenlabsData352001287.xlsx;352001287;OCEAN JUPITER (ou ESTELLA);CULPADO;Bhattacharyya;0,102;0,7669;0,3744;0,2266;0,6841;1,0861;1,6921;0,9445;1,0265;0,2557;0,7265
unseenlabsData352002195.xlsx;352002195;KHANKENDI;CULPADO;Bhattacharyya;0,0629;2,2323;1,7459;0,2923;0,6315;1,0161;1,4695;1,0392;0,9184;0,2976;0,6469
unseenlabsData352002249.xlsx;352002249;TAGOR;CULPADO;Bhattacharyya;0,1084;1,3325;0,8589;0,1074;0,7233;1,0701;1,4564;0,9913;0,8633;0,0972;0,5914
unseenlabsData413316440.xlsx;413316440;RAGNAR;CULPADO;Bhattacharyya;0,0728;2,3913;1,933;0,1701;0,5229;1,1088;1,8652;1,0391;0,9699;0,1578;0,4875
unseenlabsData422200600.xlsx;422200600;NIGHT GLORY (ou EASTERN GLORY);TOTALMENTE CULPADO;Bhattacharyya | Mahalanobis | Frobenius | Benford(0.17);0,1719;2,0499;1,4283;0,6645;0,5836;1,3496;0,9349;1,3103;0,7368;0,716;0,5402
unseenlabsData422201700.xlsx;422201700;SEA STAR III;VERDADEIRO;Nenhum;0,0868;0,0149;0,4011;0,0975;0,6451;0,4133;1,954;0,2396;1,1215;0,0988;0,5768
unseenlabsData613114203.xlsx;613114203;LLEVANT;TOTALMENTE CULPADO;Bhattacharyya | Mahalanobis | Frobenius | Benford(0.16);0,1585;4,5329;3,7284;1,0677;0,623;1,7785;0,8551;1,6628;0,9564;0,9246;0,593
unseenlabsData613612000.xlsx;613612000;AKAR WEST (ou VIEW);TOTALMENTE CULPADO;Bhattacharyya | Mahalanobis | Frobenius;0,1016;3,5207;2,8348;0,639;0,2506;1,419;1,1011;1,2992;0,6465;0,5579;0,2435
unseenlabsData626284000.xlsx;626284000;HECTOR (Atual FONDEYA);TOTALMENTE CULPADO;Bhattacharyya | Benford(0.13);0,1286;0,2586;0,2097;0,3202;0,8935;0,9422;1,8397;0,7498;1,1286;0,3275;0,8272
