Arquivo;Classificacao_Final;Lista_Acusadores;Benford_Score_Teste;Benford_Voto;Bhatt_vs_Real;Bhatt_vs_Falso;Bhatt_Voto;Mahal_vs_Real;Mahal_vs_Falso;Mahal_Voto;Frob_vs_Real;Frob_vs_Falso;Frob_Voto;Wasserstein_vs_Real;Wasserstein_vs_Falso;Euclidiana_vs_Real;Euclidiana_vs_Falso
unseenlabsData312171000.xlsx;TOTALMENTE CULPADO;Bhattacharyya + Benford, Mahalanobis;0,06862291981772066;FALSO;3,579755879961816;2,4836632244266497;FALSO;0,1672229417504672;0,1019026542477674;FALSO;11293647478255,703;417456889150807,3;REAL;2948492,4382000915;17321827,823636837;29332,42460980733;95391,79122601706
unseenlabsData352001287.xlsx;VERDADEIRO;Nenhum;0,10267670872168681;REAL;1,5070475993217933;2,2067501740269684;REAL;0,2054969112733375;0,24473080734346747;REAL;570221522116,1206;428180315106959,9;REAL;433530,62733505707;19836814,22056203;9111,385887385662;115612,85629397556
unseenlabsData352002195.xlsx;SUSPEITO;Benford;0,0621562949398584;FALSO;4,593864815116173;5,371639122229593;REAL;0,3419982783021059;0,3436016073198199;REAL;93482832232,66127;428844019461131,1;REAL;137740,3757915831;20393176,31873239;61631,37452804708;63092,8572529253
unseenlabsData352002249.xlsx;VERDADEIRO;Nenhum;0,11012388734093538;REAL;1,5039866261548087;2,459808224062506;REAL;0,062019669116223614;0,1028259583573313;REAL;73920353699,90337;428824456982485,94;REAL;93935,19769216601;20364088,285294004;5554,2916563664985;130278,49598192652
unseenlabsData413316440.xlsx;SUSPEITO;Benford;0,0717032146112645;FALSO;4,81162815568461;5,225704303566986;REAL;0,17767956305978158;0,21218043499291903;REAL;292572951995,32184;428457963677133,1;REAL;261405,89824911815;20013192,74638967;48480,42825257047;76243,78884824882
unseenlabsData422200600.xlsx;TOTALMENTE CULPADO;Bhattacharyya + Frobenius, Mahalanobis;0,16859560852723093;REAL;5,200509020622569;2,409617624896078;FALSO;0,5888958557350454;0,5253204118026888;FALSO;1435570823511450,8;1006820286882390,1;FALSO;37452237,36593399;17182246,220645178;369314,8062194457;244590,60063082838
unseenlabsData422201700.xlsx;TOTALMENTE CULPADO;Bhattacharyya + Frobenius;0,08876557740077423;REAL;2,4587658449443652;1,3670077932274833;FALSO;0,25898986927375006;0,2833920963959875;REAL;1593685630487322,2;1164935093862250,5;FALSO;39744611,850217864;19717365,386411685;4558301,322205906;4433577,115941907
unseenlabsData613114203.xlsx;TOTALMENTE CULPADO;Bhattacharyya + Frobenius, Mahalanobis;0,15226904547723596;REAL;9,333694077569424;6,451667387593887;FALSO;0,6457752763067032;0,5712717364423581;FALSO;3120112997139281,5;2691362460510220,5;FALSO;55420198,61370881;35149933,246938206;416335,0754193346;291610,8695039383
unseenlabsData613612000.xlsx;SUSPEITO;Mahalanobis;0,10152910623123844;REAL;5,705285253757727;6,521921984679333;REAL;0,3213842065987593;0,25113595778071135;FALSO;136328643315,1632;428886865272131,6;REAL;203570,48127532663;20470353,1521223;39016,692157066966;163740,88662784736
unseenlabsData626284000.xlsx;VERDADEIRO;Nenhum;0,13270647011699557;REAL;0,9000231546539793;1,9173521744906845;REAL;0,14571302997026858;0,1883063074078314;REAL;37967653796,23251;428712568975668,56;REAL;47809,35603780601;20229037,540119775;24356,413573139547;100367,80075624026
